,State_Name,District_Name,Crop_Year,Season,Crop,Area,Production,N,P,K ,temperature ,humidity,pH,rainfall
2,Andaman and Nicobar Islands,NICOBARS,2000,Kharif     ,rice,102,321,90,42,43,20.87974371,82.00274423,6.502985292,202.9355362
12,Andaman and Nicobar Islands,NICOBARS,2001,Kharif     ,rice,83,300,85,58,41,21.77046169,80.31964408,7.038096361,226.6555374
18,Andaman and Nicobar Islands,NICOBARS,2002,Kharif     ,rice,189.2,510.84,60,55,44,23.00445915,82.3207629,7.840207144,263.9642476
27,Andaman and Nicobar Islands,NICOBARS,2003,Kharif     ,rice,52,90.17,74,35,40,26.49109635,80.15836264,6.980400905,242.8640342
36,Andaman and Nicobar Islands,NICOBARS,2004,Kharif     ,rice,52.94,72.57,78,42,42,20.13017482,81.60487287,7.628472891,262.7173405
45,Andaman and Nicobar Islands,NICOBARS,2005,Kharif     ,rice,2.09,12.06,69,37,42,23.05804872,83.37011772,7.073453503,251.0549998
64,Andaman and Nicobar Islands,NICOBARS,2010,Autumn     ,rice,3.5,10,69,55,38,22.70883798,82.63941394,5.70080568,271.3248604
81,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,Kharif     ,rice,10779,31863,94,53,40,20.27774362,82.89408619,5.718627178,241.9741949
92,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2001,Kharif     ,rice,9718,27033,89,54,38,24.51588066,83.5352163,6.685346424,230.4462359
98,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Kharif     ,rice,6854.3,18995.62,68,58,38,23.22397386,83.03322691,6.336253525,221.2091958
111,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Autumn     ,rice,6791,20118,91,53,40,26.52723513,81.41753846,5.386167788,264.6148697
129,Andaman and Nicobar Islands,SOUTH ANDAMANS,2002,Kharif     ,rice,10695.8,31600.82,90,46,42,23.97898217,81.45061596,7.50283396,250.0832336
139,Andaman and Nicobar Islands,SOUTH ANDAMANS,2003,Kharif     ,rice,10509.37,30760.7,78,58,44,26.80079604,80.88684822,5.108681786,284.4364567
149,Andaman and Nicobar Islands,SOUTH ANDAMANS,2004,Kharif     ,rice,10681.98,29119.66,93,56,36,24.01497622,82.05687182,6.98435366,185.2773389
159,Andaman and Nicobar Islands,SOUTH ANDAMANS,2005,Kharif     ,rice,8683.38,25870.98,94,50,37,25.66585205,80.66385045,6.94801983,209.5869708
172,Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Kharif     ,rice,921.87,2539.64,60,48,39,24.28209415,80.30025587,7.042299069,231.0863347
185,Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Autumn     ,rice,1595.5,3788,85,38,41,21.58711777,82.7883708,6.249050656,276.6552459
216,Andhra Pradesh,ANANTAPUR,1997,Kharif     ,rice,35600,75400,91,35,39,23.79391957,80.41817957,6.970859754,206.2611855
228,Andhra Pradesh,ANANTAPUR,1997,Rabi       ,rice,18000,37300,77,38,36,21.8652524,80.1923008,5.953933276,224.5550169
244,Andhra Pradesh,ANANTAPUR,1998,Kharif     ,rice,38300,96800,88,35,40,23.57943626,83.58760316,5.85393208,291.2986618
253,Andhra Pradesh,ANANTAPUR,1998,Rabi       ,rice,26600,63900,89,45,36,21.32504158,80.47476396,6.442475375,185.4974732
268,Andhra Pradesh,ANANTAPUR,1999,Kharif     ,rice,37991,105082,76,40,43,25.15745531,83.11713476,5.070175667,231.3843163
281,Andhra Pradesh,ANANTAPUR,1999,Rabi       ,rice,20258,45669,67,59,41,21.94766735,80.97384195,6.012632591,213.3560921
304,Andhra Pradesh,ANANTAPUR,2000,Kharif     ,rice,39905,117680,83,41,43,21.0525355,82.67839517,6.254028451,233.1075816
322,Andhra Pradesh,ANANTAPUR,2000,Rabi       ,rice,22099,57236,98,47,37,23.48381344,81.33265073,7.375482851,224.0581164
351,Andhra Pradesh,ANANTAPUR,2001,Kharif     ,rice,32878,95609,66,53,41,25.0756354,80.52389148,7.778915154,257.0038865
